,fecha,agencia_id,canal_id,producto_id,venta_uni,labeled_producto,labeled_agencia,labeled_canal,prediction
14140,2017-11-30,12809,1,41653,424,10,15,0,165.2
21639,2018-04-05,12615,1,38588,423,8,0,0,154.0
10846,2017-10-05,12841,1,39109,422,9,18,0,335.0
11407,2017-10-19,12752,1,9784,422,4,6,0,278.0
15273,2017-12-21,12765,1,123576,422,18,9,0,519.3846153846154
17019,2018-01-11,12839,1,41653,422,10,17,0,555.0
17781,2018-01-25,12808,4,38588,422,8,14,2,31.0
18767,2018-02-15,12732,1,123576,422,18,4,0,293.5
21410,2018-03-29,12765,1,38588,422,8,9,0,1166.0
10552,2017-10-05,12732,1,123492,421,17,4,0,47.0
13898,2017-11-30,12732,1,123492,421,17,4,0,47.0
14089,2017-11-30,12802,1,39109,421,9,12,0,227.8403361344538
14876,2017-12-14,12779,1,42158,421,12,10,0,491.6
20787,2018-03-22,12615,4,7840,421,3,0,2,572.0
10509,2017-10-05,12656,2,7840,420,3,2,1,1610.0
14710,2017-12-14,12731,2,6437,420,1,3,1,210.0
15619,2017-12-28,12752,2,6437,420,1,6,1,159.6
15869,2017-12-28,12841,2,7840,420,3,18,1,1680.0
17903,2018-02-01,12636,2,7840,420,3,1,1,1610.0
11132,2017-10-12,12797,4,6437,419,1,11,2,382.375
14592,2017-12-07,12839,1,9784,419,4,17,0,425.0
17556,2018-01-25,12732,1,6555,419,2,4,0,1072.0
20280,2018-03-08,12820,1,9784,419,4,16,0,1.0
22167,2018-04-12,12732,1,38588,419,8,4,0,41.0
22545,2018-04-19,12656,2,7840,419,3,2,1,1610.0
10563,2017-10-05,12750,1,9784,418,4,5,0,26.0
13521,2017-11-23,12752,1,39109,418,9,6,0,408.8181818181818
14318,2017-12-07,12732,1,123576,418,18,4,0,293.5
13994,2017-11-30,12762,1,123492,417,17,8,0,366.25
14426,2017-12-07,12765,1,39109,417,9,9,0,17.133333333333333
20783,2018-03-22,12615,1,123576,417,18,0,0,347.0
