fecha,agencia_id,canal_id,producto_id,venta_uni,Week,Month,lag1month,lag2month,lag4month,lag8month,lag05month,lag6month,lag3month
2017-06-29,18,4,6437,117,26,6,691,1099,1099,1099,1099,1099,1099
2017-06-29,15,1,38588,6756,26,6,17959,35257,55455,55455,35257,55455,55455
2017-06-29,14,1,9784,47,26,6,3,3,67,67,3,67,67
2017-06-29,17,1,123576,2128,26,6,8031,16902,24630,24630,16902,24630,24630
2017-06-29,2,1,32354,38,26,6,168,280,331,331,280,331,331
2017-06-29,8,1,123492,414,26,6,1261,2418,3048,3048,2418,3048,3048
2017-06-29,7,1,42158,1044,26,6,4343,11687,20209,20209,11687,20209,20209
2017-06-29,11,4,123460,25,26,6,292,792,1153,1153,792,1153,1153
2017-06-29,4,1,9784,103,26,6,671,1413,1663,1663,1413,1663,1663
2017-06-29,14,1,6437,4975,26,6,19767,28213,38375,38375,28213,38375,38375
2017-06-29,2,1,42124,53,26,6,202,522,898,898,522,898,898
2017-06-29,10,1,39109,9,26,6,43,265,399,399,265,399,399
2017-06-29,2,1,6555,674,26,6,2723,7113,10158,10158,7113,10158,10158
2017-06-29,18,4,7840,158,26,6,691,1453,2091,2091,1453,2091,2091
2017-06-29,3,1,9784,35,26,6,1390,1537,1799,1799,1537,1799,1799
2017-06-29,13,1,41653,40,26,6,198,361,520,520,361,520,520
2017-06-29,12,1,7840,1807,26,6,6704,16293,27492,27492,16293,27492,27492
2017-06-29,0,1,44117,1,26,6,0,9,11,11,9,11,11
2017-06-29,16,4,6437,42,26,6,657,1027,1331,1331,1027,1331,1331
2017-06-29,17,1,44117,28,26,6,38,157,265,265,157,265,265
2017-06-29,10,1,33258,13,26,6,91,180,268,268,180,268,268
2017-06-29,6,4,6437,776,26,6,3351,5825,8758,8758,5825,8758,8758
2017-06-29,11,1,33258,27,26,6,106,241,393,393,241,393,393
2017-06-29,14,1,123576,1338,26,6,3348,7054,11638,11638,7054,11638,11638
2017-06-29,18,1,32354,31,26,6,206,462,748,748,462,748,748
2017-06-29,0,4,6437,115,26,6,310,518,622,622,518,622,622
2017-06-29,0,4,123460,6,26,6,32,179,196,196,179,196,196
2017-06-29,6,1,39109,460,26,6,1240,2878,5403,5403,2878,5403,5403
2017-06-29,8,1,41653,31,26,6,100,186,268,268,186,268,268
2017-06-29,9,1,38588,677,26,6,3188,6671,10162,10162,6671,10162,10162
2017-06-29,15,1,123576,2850,26,6,9829,19195,28547,28547,19195,28547,28547
2017-06-29,14,1,7840,2529,26,6,8226,16872,35621,35621,16872,35621,35621
2017-06-29,12,1,123576,636,26,6,3997,7632,10982,10982,7632,10982,10982
2017-06-29,16,4,38588,145,26,6,717,1485,2212,2212,1485,2212,2212
2017-06-29,0,1,41653,29,26,6,118,238,332,332,238,332,332
2017-06-29,18,1,6555,2119,26,6,7872,18440,28293,28293,18440,28293,28293
2017-06-29,6,1,42158,1892,26,6,11872,24639,43849,43849,24639,43849,43849
2017-06-29,17,4,6555,107,26,6,345,795,1152,1152,795,1152,1152
2017-06-29,18,1,44117,1,26,6,5,27,41,41,27,41,41
2017-06-29,13,1,32354,52,26,6,228,411,614,614,411,614,614
2017-06-29,13,1,33258,14,26,6,52,95,128,128,95,128,128
2017-06-29,14,2,35549,70,26,6,570,1118,2212,2212,1118,2212,2212
2017-06-29,4,4,35549,180,26,6,150,639,1144,1144,639,1144,1144
2017-06-29,10,1,123335,103,26,6,476,1103,1361,1361,1103,1361,1361
2017-06-29,0,1,42158,854,26,6,3189,7112,10891,10891,7112,10891,10891
2017-06-29,0,1,123335,35,26,6,256,651,1170,1170,651,1170,1170
2017-06-29,8,4,6437,48,26,6,138,256,413,413,256,413,413
2017-06-29,15,4,38588,1000,26,6,5511,13463,17951,17951,13463,17951,17951
2017-06-29,15,1,6555,6254,26,6,30340,51443,58323,58323,51443,58323,58323
2017-06-29,8,1,123576,478,26,6,4130,6160,7551,7551,6160,7551,7551
2017-06-29,7,1,123492,2735,26,6,10471,19619,31257,31257,19619,31257,31257
2017-06-29,5,1,38588,3936,26,6,11493,26155,36956,36956,26155,36956,36956
2017-06-29,14,4,35549,10,26,6,46,66,76,76,66,76,76
2017-06-29,3,1,44117,2,26,6,2,32,41,41,32,41,41
2017-06-29,11,1,123335,247,26,6,1040,1863,2595,2595,1863,2595,2595
2017-06-29,17,4,6011,167,26,6,604,1294,1919,1919,1294,1919,1919
2017-06-29,10,1,9784,231,26,6,1050,1963,2530,2530,1963,2530,2530
2017-06-29,17,4,42158,10,26,6,27,86,117,117,86,117,117
2017-06-29,16,1,123492,982,26,6,4006,7069,9667,9667,7069,9667,9667
2017-06-29,8,1,32354,3,26,6,10,28,49,49,28,49,49
2017-06-29,18,1,9784,64,26,6,381,785,1203,1203,785,1203,1203
2017-06-29,2,2,42124,25,26,6,100,221,296,296,221,296,296
2017-06-29,3,1,6437,3410,26,6,15657,31123,38151,38151,31123,38151,38151
2017-06-29,15,4,123576,50,26,6,169,461,842,842,461,842,842
2017-06-29,10,2,7840,1390,26,6,9387,15859,30521,30521,15859,30521,30521
2017-06-29,8,1,9784,44,26,6,202,416,595,595,416,595,595
2017-06-29,3,2,35549,290,26,6,749,1617,3117,3117,1617,3117,3117
2017-06-29,4,4,123460,10,26,6,344,827,1056,1056,827,1056,1056
2017-06-29,0,1,6011,105,26,6,224,253,382,382,253,382,382
2017-06-29,14,1,41653,53,26,6,199,388,601,601,388,601,601
2017-06-29,10,4,6437,1296,26,6,4607,8015,12920,12920,8015,12920,12920
2017-06-29,9,4,7840,1397,26,6,6036,12414,18859,18859,12414,18859,18859
2017-06-29,11,2,6437,168,26,6,499,835,919,919,835,919,919
2017-06-29,5,2,6011,379,26,6,80,140,399,399,140,399,399
2017-06-29,18,1,41653,48,26,6,245,490,754,754,490,754,754
2017-06-29,14,1,42158,3191,26,6,9669,21969,37268,37268,21969,37268,37268
2017-06-29,3,2,6437,42,26,6,797,1685,2435,2435,1685,2435,2435
2017-06-29,6,2,7840,2607,26,6,5018,10937,58012,58012,10937,58012,58012
2017-06-29,11,1,123492,3229,26,6,15818,29652,46381,46381,29652,46381,46381
2017-06-29,5,4,35549,4,26,6,110,237,461,461,237,461,461
2017-06-29,5,2,6437,209,26,6,84,168,428,428,168,428,428
2017-06-29,17,1,6011,210,26,6,254,709,1079,1079,709,1079,1079
2017-06-29,17,4,38588,1654,26,6,3020,7643,11695,11695,7643,11695,11695
