,fecha,agencia_id,canal_id,producto_id,venta_uni,agencia_orig,producto_orig,canal_orig,fechaLab,season,isholiday,isholidayyesterday,isholidaytomorrow,Week,Month,lag1month,lag05month,lag05rollavg2,lag05rollavg3,lag2rollavg3,lag05ewma3,lag05ewma8,lag2ewma3,lag4ewma3,lag05ewma3lag05ewma8,lag2ewma3lag4ewma3,price
29,2017-05-11,1,0,13,1,12636,44117,1,5,1,0,1,0,19,5,12,45,11881.0,8051.0,8996.0,6678.0,7290.0,6678.0,5038.0,-612.0,1640.0,345
30,2017-05-11,1,0,15,90,12636,123335,1,5,1,0,1,0,19,5,266,406,226.0,8056.0,139.0,3542.0,5759.0,3542.0,2652.0,-2217.0,890.0,7
31,2017-05-11,1,0,17,1488,12636,123492,1,5,1,0,1,0,19,5,9314,13270,6838.0,4574.0,4790.0,8406.0,7429.0,8406.0,5983.0,977.0,2423.0,8
32,2017-05-11,1,0,18,914,12636,123576,1,5,1,0,1,0,19,5,4004,4819,9044.0,6165.0,6659.0,6612.0,6849.0,6612.0,4994.0,-237.0,1618.0,7
33,2017-05-11,1,2,1,57,12636,6437,4,5,1,0,1,0,19,5,559,725,2772.0,6271.0,2282.0,3669.0,5488.0,3669.0,2776.0,-1819.0,893.0,7
34,2017-05-11,1,2,3,155,12636,7840,4,5,1,0,1,0,19,5,1408,3801,2263.0,3115.0,984.0,3735.0,5113.0,3735.0,2092.0,-1378.0,1643.0,5
35,2017-05-11,1,2,8,371,12636,38588,4,5,1,0,1,0,19,5,1103,1842,2822.0,2123.0,1256.0,2788.0,4386.0,2788.0,1598.0,-1598.0,1190.0,5
36,2017-05-11,1,2,16,87,12636,123460,4,5,1,0,1,0,19,5,73,106,974.0,1916.0,588.0,1447.0,3435.0,1447.0,835.0,-1988.0,612.0,23
37,2017-05-11,2,0,0,37,12656,6011,1,5,1,0,1,0,19,5,95,125,116.0,691.0,84.0,786.0,2699.0,786.0,465.0,-1913.0,321.0,16
38,2017-05-11,2,0,1,1552,12656,6437,1,5,1,0,1,0,19,5,8157,9153,4639.0,3128.0,4126.0,4970.0,4133.0,4970.0,4311.0,837.0,659.0,7
39,2017-05-11,2,0,2,865,12656,6555,1,5,1,0,1,0,19,5,3014,4391,6772.0,4556.0,5586.0,4680.0,4191.0,4680.0,3663.0,489.0,1017.0,7
40,2017-05-11,2,0,3,941,12656,7840,1,5,1,0,1,0,19,5,4723,7505,5948.0,7016.0,3868.0,6093.0,4927.0,6093.0,4193.0,1166.0,1900.0,5
41,2017-05-11,2,0,4,173,12656,9784,1,5,1,0,1,0,19,5,528,535,4020.0,4144.0,2626.0,3314.0,3951.0,3314.0,2360.0,-637.0,954.0,11
42,2017-05-11,2,0,5,4,12656,32354,1,5,1,0,1,0,19,5,25,52,294.0,2697.0,276.0,1683.0,3085.0,1683.0,1193.0,-1402.0,490.0,16
43,2017-05-11,2,0,6,62,12656,33258,1,5,1,0,1,0,19,5,264,314,183.0,300.0,144.0,998.0,2469.0,998.0,728.0,-1471.0,270.0,71
44,2017-05-11,2,0,8,107,12656,38588,1,5,1,0,1,0,19,5,774,1162,738.0,509.0,519.0,1080.0,2179.0,1080.0,751.0,-1099.0,329.0,5
